klucz,short_name,nationality,club_name,league_name,position
00003222,C. Roberts,Wales,Swansea City,English League Championship,RWB
00007748,C. Robertson,Scotland,Rotherham United,English League Championship,LCB
00003246,C. Robinson,Republic of Ireland,West Bromwich Albion,English Premier League,ST
00001576,C. Rodriguez,Mexico,Monterrey,Mexican Liga MX,RDM
00007271,C. Rodriguez,Uruguay,Delfín SC,Ecuadorian Serie A,CB
00002116,C. Roldan,United States,Seattle Sounders FC,USA Major League Soccer,LDM
00003275,C. Salcedo,Mexico,Tigres U.A.N.L.,Mexican Liga MX,LCB
00007051,C. Santos,Venezuela,VfL Osnabrück,German 2. Bundesliga,LS
00005940,C. Sapunaru,Romania,Kayserispor,Turkish Süper Lig,LCB
00002911,C. Schindler,Germany,Huddersfield Town,English League Championship,RCB
00011595,C. Schneuwly,Switzerland,FC Lausanne-Sport,Swiss Super League,LCM
00010438,C. Schosswendter,Austria,FC Admira Wacker Mödling,Austrian Football Bundesliga,LCB
00011045,C. Senior,England,Colchester United,English League Two,LM
00008257,C. Sepulveda,Chile,CD Huachipato,Chilian Campeonato Nacional,RCM
00010415,C. Sheridan,Republic of Ireland,Wis³a P³ock,Polish T-Mobile Ekstraklasa,ST
00008111,C. Shields,Republic of Ireland,Dundalk,Rep. Ireland Airtricity League,RDM
00013495,C. Sibbald,Scotland,Livingston FC,Scottish Premiership,LDM
00008649,C. Sickinger,Germany,1. FC Kaiserslautern,German 3. Bundesliga,LCB
00008402,C. Sierra,Colombia,América de Cali,Colombian Liga Postobón,LCM
00003343,C. Songkrasin,Thailand,Hokkaido Consadole Sapporo,Japanese J. League Division 1,LF
00005362,C. Soukou,Benin,DSC Arminia Bielefeld,German 1. Bundesliga,RW
00010163,C. Souza,Uruguay,Pachuca,Mexican Liga MX,LCM
00000389,C. Soyuncu,Turkey,Leicester City,English Premier League,LCB
